president,year,majortopic
George W. Bush,2006,19
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,1
George W. Bush,2006,20
George W. Bush,2006,20
George W. Bush,2006,1
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,1
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,18
George W. Bush,2006,18
George W. Bush,2006,18
George W. Bush,2006,9
George W. Bush,2006,9
George W. Bush,2006,9
George W. Bush,2006,9
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,8
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,17
George W. Bush,2006,17
George W. Bush,2006,17
George W. Bush,2006,17
George W. Bush,2006,17
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,6
George W. Bush,2006,17
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,12
George W. Bush,2006,13
George W. Bush,2006,12
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,3
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,2
George W. Bush,2006,20
George W. Bush,2006,20
George W. Bush,2006,20
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,20
George W. Bush,2006,20
George W. Bush,2006,20
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,13
George W. Bush,2006,6
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,15
George W. Bush,2006,2
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,3
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,15
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2006,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,3
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,1
George W. Bush,2007,3
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,6
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,3
George W. Bush,2007,9
George W. Bush,2007,9
George W. Bush,2007,12
George W. Bush,2007,5
George W. Bush,2007,5
George W. Bush,2007,5
George W. Bush,2007,9
George W. Bush,2007,9
George W. Bush,2007,9
George W. Bush,2007,9
George W. Bush,2007,9
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,8
George W. Bush,2007,7
George W. Bush,2007,12
George W. Bush,2007,12
George W. Bush,2007,12
George W. Bush,2007,20
George W. Bush,2007,20
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,16
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,16
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,19
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2007,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,1
George W. Bush,2008,14
George W. Bush,2008,14
George W. Bush,2008,14
George W. Bush,2008,14
George W. Bush,2008,14
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,6
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,18
George W. Bush,2008,5
George W. Bush,2008,5
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,7
George W. Bush,2008,7
George W. Bush,2008,7
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,8
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,12
George W. Bush,2008,12
George W. Bush,2008,12
George W. Bush,2008,12
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,15
George W. Bush,2008,15
George W. Bush,2008,15
George W. Bush,2008,18
George W. Bush,2008,1
George W. Bush,2008,13
George W. Bush,2008,13
George W. Bush,2008,3
George W. Bush,2008,3
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,9
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,0
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,19
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,16
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,0
George W. Bush,2008,1